title,author,year,link
The p300/CBP family: integrating signals with transcription factors and chromatin,['N Shiama'],1997,N/A
Role of CBP/P300 in nuclear receptor signalling,"['D Chakravarti', 'VJ LaMorte', 'MC Nelson', 'T Nakajima']",1996,N/A
An essential role for p300/CBP in the cellular response to hypoxia,"['Z Arany', 'LE Huang', 'R Eckner']",1996,https://www.pnas.org/doi/pdf/10.1073/pnas.93.23.12969
On how P300 amplitude varies with the utility of the eliciting stimuli,"['R Johnson Jr', 'E Donchin']",1978,https://www.researchgate.net/profile/Ray-Johnson-2/publication/223087694_On_how_P300_amplitude_varies_with_the_utility_of_the_eliciting_stimuli/links/5b37bc24a6fdcc8506e3b855/On-how-P300-amplitude-varies-with-the-utility-of-the-eliciting-stimuli.pdf
Adapting the P300-based brain–computer interface for gaming: a review,"['AY Kaplan', 'SL Shishkin', 'IP Ganin']",2013,https://lib.ipran.ru/public/upload/papers/20441222.pdf
Binding and modulation of p53 by p300/CBP coactivators,"['NL Lill', 'SR Grossman', 'D Ginsberg', 'J DeCaprio']",1997,https://www.nature.com/articles/42981
Conjunction dysfunction: CBP/p300 in human disease,"['RH Giles', 'DJM Peters', 'MH Breuning']",1998,N/A
p300 in prostate cancer proliferation and progression,"['JD Debes', 'TJ Sebo', 'CM Lohse', 'LM Murphy']",2003,N/A
An improved P300-based brain-computer interface,"['H Serby', 'E Yom-Tov', 'GF Inbar']",2005,https://ieeexplore.ieee.org/iel5/7333/30492/01406025.pdf
Alzheimer's disease and P300: review and evaluation of task and modality,"['J Polich', 'J Corey-Bloom']",2005,N/A
"P300 as a clinical assay: rationale, evaluation, and findings","['J Polich', 'KL Herbst']",2000,N/A
P300 and the word frequency effect,"['J Polich', 'E Donchin']",1988,N/A
The MindGame: a P300-based brain–computer interface game,"['A Finke', 'A Lenhardt', 'H Ritter']",2009,N/A
"P300, stimulus intensity, modality, and probability","['J Polich', 'PC Ellerson', 'J Cohen']",1996,N/A
P300 brain computer interface: current challenges and emerging trends,"['R Fazel-Rezai', 'BZ Allison', 'C Guger']",2012,https://www.frontiersin.org/articles/10.3389/fneng.2012.00014/full?ref=https://githubhelp.com
"Definition, identification, and reliability of measurement of the P300 component of the event-related brain potential","['M Fabiani', 'G Gratton', 'D Karis']",1987,https://www.academia.edu/download/66741776/Definition_identification_and_reliabilit20210430-27050-1emtuav.pdf
How many people are able to control a P300-based brain–computer interface (BCI)?,"['C Guger', 'S Daban', 'E Sellers', 'C Holzner', 'G Krausz']",2009,https://www.cs.tau.ac.il/~nin/Courses/Seminar14a/P300.pdf
"Meta‐analysis of P300 and schizophrenia: Patients, paradigms, and practical implications","['YW Jeon', 'J Polich']",2003,N/A
Meta‐analysis of P300 normative aging studies,['J Polich'],1996,N/A
Is the P300 component a manifestation of context updating?,"['E Donchin', 'MGH Coles']",1988,https://www.researchgate.net/profile/Emanuel-Donchin/publication/232559111_Is_the_P300_component_a_manifestation_of_context_updating/links/55ef861108aef559dc44d610/Is-the-P300-component-a-manifestation-of-context-updating.pdf
Is histone acetylation the most important physiological function for CBP and p300?,"['DC Bedford', 'PK Brindle']",2012,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3371760/
The event-related P300 potential analysis of cognitive human brain aging: a review,"['CFA Kügler', 'A Taghavy', 'D Platt']",1993,N/A
"On the relationship between EEG and P300: individual differences, aging, and ultradian rhythms",['J Polich'],1997,N/A
P300 in detecting concealed information,['JP Rosenfeld'],2011,https://groups.psych.northwestern.edu/rosenfeld/documents/MemoryDetection69-90.pdf
Characterization of N200 and P300: selected studies of the event-related potential,"['SH Patel', 'PN Azzam']",2005,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1252727/
Schizophrenia: the broken P300 and beyond,['JM Ford'],1999,https://onlinelibrary.wiley.com/doi/pdf/10.1111/1469-8986.3660667
p300/CBP proteins: HATs for transcriptional bridges and scaffolds,"['HM Chan', 'NB La Thangue']",2001,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=fb42c033992f8a0c903adb25359265e2b9a6d171
P300-response: possible psychophysiological correlates in delta and theta frequency channels. A review,"['C Başar-Eroglu', 'E Başar', 'T Demiralp']",1992,https://www.academia.edu/download/44293805/P300-response_Possible_psychophysiologic20160401-4603-jiv2q6.pdf
P300 and long-term physical exercise,"['J Polich', 'MT Lardon']",1997,http://drlardon.com/wp-content/uploads/2014/06/P300_and_Long_Term_Exercise.pdf
"Event-related potentials in clinical research: guidelines for eliciting, recording, and quantifying mismatch negativity, P300, and N400","['CC Duncan', 'RJ Barry', 'JF Connolly', 'C Fischer']",2009,https://www.scielo.br/j/acr/a/qSKLbtdjQqQmgvPSS9gWm7G/?lang=en
CREB-binding protein and p300: molecular integrators of hematopoietic transcription,['GA Blobel'],2000,N/A
Polyubiquitination of p53 by a ubiquitin ligase activity of p300,"['SR Grossman', 'ME Deato', 'C Brignone', 'HM Chan']",2003,N/A
Inhibition of p300 impairs Foxp3+ T regulatory cell function and promotes antitumor immunity,"['Y Liu', 'L Wang', 'J Predina', 'R Han', 'UH Beier']",2013,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3793393/
Regulation of the p300 HAT domain via a novel activation loop,"['PR Thompson', 'D Wang', 'L Wang', 'M Fulco']",2004,https://www.researchgate.net/profile/Dianzheng-Zhang/publication/6283593_Regulation_of_the_p300_HAT_domain_via_a_novel_activation_loop/links/0f3175323055260050000000/Regulation-of-the-p300-HAT-domain-via-a-novel-activation-loop.pdf
“P300” and memory: Individual differences in the von Restorff effect,"['D Karis', 'M Fabiani', 'E Donchin']",1984,https://www.academia.edu/download/49102745/0010-0285_2884_2990007-020160925-10997-sjrzg0.pdf
On the neural generators of the P300 component of the event‐related potential,['RAY Johnson Jr'],1993,http://apsychoserver.psych.arizona.edu/JJBAReprints/PSYC501A/Readings/Johnson_on%20the%20neural%20generators%20of%20the%20P300_Psychophysiology_1993.pdf
P300 and genetic risk for schizophrenia,"['G Winterer', 'MF Egan', 'T Raedler']",2003,https://jamanetwork.com/journals/jamapsychiatry/articlepdf/207980/YOA20483.pdf
A tactile P300 brain-computer interface,"['AM Brouwer', 'JB Van Erp']",2010,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2010.00019/pdf
A triarchic model of P300 amplitude.,['R Johnson Jr'],1986,N/A
Transcriptional coactivator protein p300,"['PR Thompson', 'H Kurooka', 'Y Nakatani']",2001,https://www.jbc.org/article/S0021-9258(19)34769-6/pdf
The P300-based brain–computer interface (BCI): effects of stimulus rate,"['DJ McFarland', 'WA Sarnacki', 'G Townsend']",2011,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3050994/
P300 amplitude in Alzheimer's disease: a meta-analysis and meta-regression,"['D Hedges', 'R Janis', 'S Mickelson']",2016,https://www.researchgate.net/profile/Rebecca-Janis/publication/266151933_P300_Amplitude_in_Alzheimer's_Disease_A_Meta-Analysis_and_Meta-Regression/links/551afbb20cf251c35b503fa6/P300-Amplitude-in-Alzheimers-Disease-A-Meta-Analysis-and-Meta-Regression.pdf
The transcriptional coactivator and acetyltransferase p300 in fibroblast biology and fibrosis,"['AK Ghosh', 'J Varga']",2007,https://onlinelibrary.wiley.com/doi/pdf/10.1002/jcp.21162
P300 and long‐term memory: Latency predicts recognition performance,"['R Johnson Jr', 'A Pfefferbaum', 'BS Kopell']",1985,N/A
An adaptive P300-based online brain–computer interface,"['A Lenhardt', 'M Kaper', 'HJ Ritter']",2008,https://ieeexplore.ieee.org/iel5/7333/4359219/04389810.pdf
The structural basis of protein acetylation by the p300/CBP transcriptional coactivator,"['X Liu', 'L Wang', 'K Zhao', 'PR Thompson', 'Y Hwang']",2008,N/A
Meta-analysis of the P300 and P50 waveforms in schizophrenia,"['E Bramon', 'S Rabe-Hesketh', 'P Sham', 'RM Murray']",2004,https://www.academia.edu/download/47877329/j.schres.2004.01.00420160807-10934-1d0fsaf.pdf
Altered P300 topography in schizophrenia,"['R Morstyn', 'FH Duffy', 'RW McCarley']",1983,N/A
Why the P600 is not just a P300: The role of the basal ganglia,"['S Frisch', 'SA Kotz', 'DY Von Cramon']",2003,https://pure.mpg.de/rest/items/item_728245/component/file_728244/content
P300 deficits in adults with attention deficit hyperactivity disorder: a meta-analysis,"['B Szuromi', 'P Czobor', 'S Komlósi', 'I Bitter']",2011,https://www.researchgate.net/profile/Istvan-Bitter/publication/47509217_P300_deficits_in_adults_with_attention_deficit_hyperactivity_disorder_A_meta-analysis/links/0a85e530f63a45d43d000000/P300-deficits-in-adults-with-attention-deficit-hyperactivity-disorder-A-meta-analysis.pdf
Lysine acetyltransferases CBP and p300 as therapeutic targets in cognitive and neurodegenerative disorders,"['LM Valor', 'J Viosca', 'JP Lopez-Atalaya']",2013,https://www.ingentaconnect.com/contentone/ben/cpd/2013/00000019/00000028/art00004?crawler=true
A viral mechanism for inhibition of p300 and PCAF acetyltransferase activity,"['D Chakravarti', 'V Ogryzko', 'HY Kao', 'A Nash', 'H Chen']",1999,https://www.cell.com/cell/pdf/S0092-8674(00)80552-8.pdf
