title,author,year,link
Inhibition of the acetyltransferases p300 and CBP reveals a targetable function for p300 in the survival and invasion pathways of prostate cancer cell lines,"['FR Santer', 'PPS Höschele', 'SJ Oh', 'HHH Erb']",2011,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=7d055c429924bc68fe0b49b2ef66e847fba25ca6
"P300 sequence effects, probability, and interstimulus interval","['J Polich', 'T Bondurant']",1997,N/A
Life and death of transcriptional co-activator p300,"['J Chen', 'Q Li']",2011,https://www.tandfonline.com/doi/pdf/10.4161/epi.6.8.16065
Structure of the p300 catalytic core and implications for chromatin targeting and HAT regulation,"['M Delvecchio', 'J Gaucher', 'C Aguilar-Gurrieri']",2013,N/A
A novel cofactor for p300 that regulates the p53 response,"['N Shikama', 'CW Lee', 'S France', 'L Delavaine', 'J Lyon']",1999,https://www.cell.com/molecular-cell/pdf/S1097-2765(00)80338-X.pdf
"P300, probability, and the three-tone paradigm","['J Katayama', 'J Polich']",1996,N/A
A comparison of classification techniques for the P300 Speller,"['DJ Krusienski', 'EW Sellers', 'F Cabestaing']",2006,https://hal.science/hal-00521054/file/krusienski_jne_2006.pdf
Is the P300 wave an endophenotype for schizophrenia? A meta-analysis and a family study,"['E Bramon', 'C McDonald', 'RJ Croft', 'S Landau', 'F Filbey']",2005,N/A
Meta-analysis of P300 amplitude from males at risk for alcoholism.,"['J Polich', 'VE Pollock', 'FE Bloom']",1994,N/A
P300-based brain computer interface: reliability and performance in healthy and paralysed participants,"['F Piccione', 'F Giorgi', 'P Tonin', 'K Priftis', 'S Giove']",2006,N/A
Interaction and functional collaboration of p300 and C/EBPβ,"['S Mink', 'B Haenig', 'KH Klempnauer']",1997,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC232514/pdf/176609.pdf
"SET1 and p300 act synergistically, through coupled histone modifications, in transcriptional activation by p53","['Z Tang', 'WY Chen', 'M Shimada', 'UTT Nguyen', 'J Kim']",2013,https://www.cell.com/cell/pdfExtended/S0092-8674(13)00766-6
A P300-based brain–computer interface: initial tests by ALS patients,"['EW Sellers', 'E Donchin']",2006,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=21e06ad6bb8447f302338c41654428da105ef851
The neural basis of the P300 potential: Focus on the time-course of the underlying cortical generators,"['C Mulert', 'O Pogarell', 'G Juckel', 'D Rujescu']",2004,https://www.academia.edu/download/48070050/s00406-004-0469-220160815-20575-tw7qsd.pdf
Convolutional neural networks for P300 detection with application to brain-computer interfaces,"['H Cecotti', 'A Graser']",2010,https://pure.ulster.ac.uk/files/11410302/cecotti_pami.pdf
P300 in serial tasks: an essential post-decision closure mechanism,['JE Desmedt'],1980,N/A
P300 latency reflects the degree of cognitive decline in dementing illness,"['J Polich', 'CL Ehlers', 'S Otis', 'AJ Mandell']",1986,N/A
p300/MDM2 complexes participate in MDM2-mediated p53 degradation,"['SR Grossman', 'M Perez', 'AL Kung', 'M Joseph', 'C Mansur']",1998,https://www.cell.com/molecular-cell/pdf/S1097-2765(00)80140-9.pdf
"P300, probability, and interstimulus interval",['J Polich'],1990,N/A
"Functional role of p35srj, a novel p300/CBP binding protein, during transactivation by HIF-1","['S Bhattacharya', 'CL Michels', 'MK Leung']",1999,https://genesdev.cshlp.org/content/13/1/64.full.pdf
"P300 from one-, two-, and three-stimulus auditory paradigms","['J Katayama', 'J Polich']",1996,https://www.academia.edu/download/45331600/Katayama__Polich_-_1996_-_P300_from_one-__two-__and_three-stimulus_auditory_paradigms.pdf
Transcriptional/epigenetic regulator CBP/p300 in tumorigenesis: structural and functional versatility in target recognition,"['F Wang', 'CB Marshall', 'M Ikura']",2013,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11113169/
The P300 event-related brain potential as a neurobiological endophenotype for substance use disorders: a meta-analytic investigation,"['AS Euser', 'LR Arends', 'BE Evans']",2012,https://www.academia.edu/download/47484114/j.neubiorev.2011.09.00220160724-27840-q3qy48.pdf
Expression of HDAC1 and CBP/p300 in human colorectal carcinomas,"['K Ishihama', 'M Yamakawa', 'S Semba']",2007,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2095491/
"N300, P300 and the emotional processing of visual stimuli","['L Carretié', 'J Iglesias', 'T Garcia', 'M Ballesteros']",1997,N/A
Cooperation of Stat2 and p300/CBP in signalling induced by interferon-α,"['S Bhattacharya', 'R Eckner', 'S Grossman', 'E Oldread']",1996,https://www.academia.edu/download/49347402/383344a020161004-26595-1x2an13.pdf
The late positive component (P300) and information processing in sentences,"['D Friedman', 'R Simson', 'W Ritter', 'I Rapin']",1975,N/A
The time constant in P300 recording,"['CC Duncan‐Johnson', 'E Donchin']",1979,https://www.academia.edu/download/113064520/j.1469-8986.1979.tb01440.x20240405-1-o0eo03.pdf
The APC/C and CBP/p300 cooperate to regulate transcription and cell-cycle progression,"['AS Turnell', 'GS Stewart', 'RJA Grand', 'SM Rookes']",2005,https://www.academia.edu/download/85629135/nature0415120220507-1-1q9sr58.pdf
The P300 event-related potential: the effects of sleep deprivation,"['AM Morris', 'Y So', 'KA Lee', 'AA Lash']",1992,N/A
Wavelet analysis of oddball P300,"['T Demiralp', 'A Ademoglu', 'Y Istefanopulos']",2001,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=292f66cc457fcd1094d12485940ba43fb685e638
P300 amplitude is determined by target-to-target interval,"['CJ Gonsalvez', 'J Polich']",2002,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=aea0ff595217ff2991da54df3dd57f157dd859c2
P300 audio-visual speller,"['A Belitski', 'J Farquhar', 'P Desain']",2011,https://www.researchgate.net/profile/J-Farquhar/publication/50850907_P300_audio-visual_speller/links/542024b40cf241a65a1b0863/P300-audio-visual-speller.pdf
Toward enhanced P300 speller performance,"['DJ Krusienski', 'EW Sellers', 'DJ McFarland']",2008,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2349091/
Effects of practice on the P300 in a Go/NoGo task,"['E Jodo', 'K Inoue']",1990,N/A
CREB-binding protein/p300 are transcriptional coactivators of p65,"['ME Gerritsen', 'AJ Williams', 'AS Neish']",1997,https://www.pnas.org/doi/pdf/10.1073/pnas.94.7.2927
A subcortical correlate of P300 in man,"['CD Yingling', 'Y Hosobuchi']",1984,N/A
Auditory P300 and eye tracking dysfunction in schizophrenic pedigrees,"['DHR Blackwood', 'DM St Clair', 'WJ Muir']",1991,N/A
p300/CBP‐mediated p53 acetylation is commonly induced by p53‐activating agents and inhibited by MDM2,"['A Ito', 'CH Lai', 'X Zhao', 'S Saito', 'MH Hamilton']",2001,https://www.embopress.org/doi/full/10.1093/emboj/20.6.1331
A metric for thought: a comparison of P300 latency and reaction time,"['G McCarthy', 'E Donchin']",1981,N/A
CBP/p300 as a co-factor for the Microphthalmia transcription factor,"['S Sato', 'K Roberts', 'G Gambino', 'A Cook', 'T Kouzarides']",1997,https://www.researchgate.net/profile/Shigeru_Sato/publication/13995284_CBPp300_as_a_co-factor_for_the_Microphthalmia_transcription_factor/links/53ea289b0cf2dc24b3cb0f88/CBP-p300-as-a-co-factor-for-the-Microphthalmia-transcription-factor.pdf
Regulation of NF-κB by cyclin-dependent kinases associated with the p300 coactivator,"['ND Perkins', 'LK Felzien', 'JC Betts', 'K Leung', 'DH Beach']",1997,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=b5754506924745cb648eb8875aae3c93afd457fc
User adaptive BCIs: SSVEP and P300 based interfaces.,"['F Beverina', 'G Palmas', 'S Silvoni', 'F Piccione']",2003,https://www.academia.edu/download/47246973/PSYCHNOLOGY_JOURNAL_1_4_BEVERINA.pdf
On the number of trials needed for P300,"['J Cohen', 'J Polich']",1997,N/A
Time-resolved analysis reveals rapid dynamics and broad scope of the CBP/p300 acetylome,"['BT Weinert', 'T Narita', 'S Satpathy', 'B Srinivasan']",2018,https://www.cell.com/cell/pdf/S0092-8674(18)30526-9.pdf
Does the 'P300'speller depend on eye gaze?,"['P Brunner', 'S Joshi', 'S Briskin', 'JR Wolpaw']",2010,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992970/
Structure of p300 in complex with acyl-CoA variants,"['Z Kaczmarska', 'E Ortega', 'A Goudarzi', 'H Huang']",2017,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5757799/
An adaptive P300-based control system,"['J Jin', 'BZ Allison', 'EW Sellers', 'C Brunner']",2011,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4429775/
