title,author,year,link
図解入門最新人工知能がよ~ くわかる本,['神崎洋治'],2016,N/A
人工知能 (AI) 技術の実臨床応用―医用画像解析を中心として―,['浜本隆二'],2022,https://www.jstage.jst.go.jp/article/jcns/31/8/31_494/_pdf
人工知能時代の外国語教育,['浅野享三， アサノケイゾウ'],2018,https://nanzan-u.repo.nii.ac.jp/record/1784/files/nantan39_09_Asano_Keizo.pdf
分散人工知能の技術と応用 (< 特集>「分散人工知能」),['石田亨'],1990,https://www.jstage.jst.go.jp/article/jjsai/5/4/5_441/_pdf
論理に基づく人工知能の法学への応用,['佐藤健'],2010,https://www.jstage.jst.go.jp/article/jssst/27/3/27_3_3_36/_pdf
強化学習における報酬割当ての理論的考察,['宮崎和光， 山村雅幸， 小林重信'],1994,https://www.jstage.jst.go.jp/article/jjsai/9/4/9_580/_pdf
知能ロボットの技術: 人工知能からのアプローチ (後編): 6. ロボットとの会話-人工知能からのアプローチ,['田中穂積， 徳永健伸'],2003,https://ipsj.ixsq.nii.ac.jp/ej/?action=repository_action_common_download&item_id=64918&item_no=1&attribute_id=1&file_no=1
人工知能の将来と人間・社会,['國吉康夫'],2018,https://www.jstage.jst.go.jp/article/jnlsts/16/0/16_15/_pdf
次世代デジタルゲームにおける人工知能の研究課題について,['三宅陽一郎'],2012,https://ipsj.ixsq.nii.ac.jp/ej/?action=repository_action_common_download&item_id=91351&item_no=1&attribute_id=1&file_no=1
人工知能として認識されない人工知能の埋め込まれる社会に向けて,['堀浩一'],2018,https://www.jstage.jst.go.jp/article/jicp/2/1/2_11/_pdf
