title,author,year,link
人工知能を活用した業務自動化における P2M 理論の適用 プログラム統合マネジメントを用いたステークホルダーの説得,['田中裕子， 久保裕史'],2018,https://www.jstage.jst.go.jp/article/iappmjour/12/2/12_1/_pdf
視点 人工知能はみようみまねマシンの究極形,['樋口知之'],2016,https://www.jstage.jst.go.jp/article/johokanri/59/5/59_331/_pdf
基礎から学ぶ 人工知能の教科書,['小高知宏'],2019,N/A
人工知能・科学・人間のトリロジーの将来,['植原亮'],2022,https://kansai-u.repo.nii.ac.jp/?action=repository_action_common_download&item_id=24139&item_no=1&attribute_id=19&file_no=1
人工知能サーバと連携した水質測定システムの構築,['古山彰一， 藤島政樹， 竹内克輝， 永井孝， 奥村浩'],2019,https://www.jstage.jst.go.jp/article/bunsekikagaku/68/7/68_491/_pdf
Happy Academic Life 2006: 研究者の人生ゲーム: ゲーム型キャリアデザイン学習教材の開発 (< 特集> 人工知能学会創設 20 周年記念企画),['山川宏， 市瀬龍太郎， 太田正幸， 加藤義清， 庄司裕子'],2006,https://www.jstage.jst.go.jp/article/jjsai/21/3/21_360/_pdf
認知症の人の暮らしをアシストする人工知能技術 (< 特集> 人工知能技術が浸透する社会を考える),['竹林洋一'],2014,https://www.jstage.jst.go.jp/article/jjsai/29/5/29_515/_pdf
デジタルゲームのための人工知能の基礎理論,['三宅陽一郎'],2013,http://journal.vrsj.org/18-3/s28-33.pdf
人狼知能プロジェクト (< 特集> エンターテイメントにおける AI),['片上大輔， 鳥海不二夫， 大澤博隆， 稲葉通将， 篠田孝祐'],2015,https://www.jstage.jst.go.jp/article/jjsai/30/1/30_65/_pdf
マルチエージェント強化学習の方法論: Q-learning と profit sharing による接近,['荒井幸代， 宮崎和光， 小林重信'],1998,https://www.jstage.jst.go.jp/article/jjsai/13/4/13_609/_pdf
カブロボへの招待: 人工知能を用いた株式取引,['松井藤五郎'],2007,https://www.jstage.jst.go.jp/article/jjsai/22/4/22_540/_pdf
医学における人工知能―その動向と最近の進歩,['田中博'],1993,https://www.jstage.jst.go.jp/article/jsmbe1987/7/5/7_5_1/_pdf
転移学習,['神嶌敏弘'],2010,https://www.jstage.jst.go.jp/article/jjsai/25/4/25_572/_pdf
オントロジー研究の基礎と応用 (「オントロジーの基礎と応用」),['溝口理一郎'],1999,https://www.jstage.jst.go.jp/article/jjsai/14/6/14_977/_pdf
人工知能の研究開発をどう進めるか 技術的特異点 (シンギュラリティ) を見据えて,['堀浩一'],2015,https://www.jstage.jst.go.jp/article/johokanri/58/4/58_250/_html/-char/en
大規模ゲームにおける人工知能—ファイナルファンタジー ⅩⅤ の実例をもとに—,['三宅陽一郎， 今村紀之， 小松智希， 下川和也， 上段達弘'],2017,https://www.jstage.jst.go.jp/article/jjsai/32/2/32_197/_pdf
人工知能システムのプロジェクトがわかる本 企画・開発から運用・保守まで,['本橋洋介'],2018,N/A
第 3 次人工知能ブームを機に見る製造業におけるデータ解析技術の変遷,['中林暁男， 和田英彦'],2016,https://web-material3.yokogawa.com/19/13484/tabs/rd-tr-r05901-001.jp.pdf
分散人工知能における標準的小問題,['大沢英一， 沼岡千里， 石田亨'],1993,https://www.jstage.jst.go.jp/article/jssst/10/3/10_3_195/_pdf
人工知能研究についての二三の問題,['西野博二'],1974,https://ipsj.ixsq.nii.ac.jp/ej/?action=repository_action_common_download&item_id=7859&item_no=1&attribute_id=1&file_no=1
